GNa_fast,GNa_late,Gto,GKr,GKs,GK1,GNaCa,GKb,PCa,INaK,PNab,PCab,GpCa,SERCA_total,RyR_total,Trans_total,Leak_total,KCaMK
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
1,1.8,0.256,0.79,0.83,0.5848,1.75,1,1,0.553,1,1,1,0.575,1,1,1.3,1.5
