drug_name,conc,ICaL_IC50,ICaL_h,IK1_IC50,IK1_h,IKs_IC50,IKs_h,INa_IC50,INa_h,INaL_IC50,INaL_h,Ito_IC50,Ito_h,hERG_IC50,hERG_h
Mitoxantrone,800,71393.86293,1.212294274,NA,NA,NA,NA,2418842.938,0.365274295,NA,NA,NA,NA,525135.9651,0.958797145
Mitoxantrone,800,71004.97655,1.059863672,NA,NA,NA,NA,2565676.131,1.202205886,NA,NA,NA,NA,465260.2218,0.801049108
Mitoxantrone,800,53537.5833,1.761709692,NA,NA,NA,NA,1440187.662,0.501969677,NA,NA,NA,NA,319346.8081,0.993805225
Mitoxantrone,800,42275.04605,0.860410975,NA,NA,NA,NA,3244328.889,0.977151492,NA,NA,NA,NA,824909.3364,1.167520523
Mitoxantrone,800,71748.1964,0.70243062,NA,NA,NA,NA,1820407.363,1.133557405,NA,NA,NA,NA,357387.6723,1.096464708
Mitoxantrone,800,56448.27613,1.280742626,NA,NA,NA,NA,2371064.105,0.893604499,NA,NA,NA,NA,609383.6111,0.985755725
Mitoxantrone,800,58805.75182,0.440732512,NA,NA,NA,NA,1801079.37,1.692494598,NA,NA,NA,NA,569545.4447,1.075336319
Mitoxantrone,800,67148.37007,0.813433771,NA,NA,NA,NA,2217098.501,0.418179534,NA,NA,NA,NA,553448.0278,1.064517308
Mitoxantrone,800,64827.03006,1.374365246,NA,NA,NA,NA,2096657.94,1.20256543,NA,NA,NA,NA,663276.0677,1.283334325
Mitoxantrone,800,38469.286,0.55111304,NA,NA,NA,NA,1696025.128,0.818520328,NA,NA,NA,NA,473687.6949,1.044854209
Mitoxantrone,800,50102.29767,1.475716241,NA,NA,NA,NA,3703991.698,0.985503894,NA,NA,NA,NA,477886.6744,1.040134703
Mitoxantrone,800,44638.51277,1.156952582,NA,NA,NA,NA,1962814.778,1.299555794,NA,NA,NA,NA,647824.9344,1.442352133
Mitoxantrone,800,59400.45952,0.651788549,NA,NA,NA,NA,2104201.453,0.740359413,NA,NA,NA,NA,387521.3558,0.893595787
Mitoxantrone,800,68481.63989,0.7957717,NA,NA,NA,NA,2561853.036,0.388210902,NA,NA,NA,NA,633173.7532,1.099701626
Mitoxantrone,800,39720.23444,1.103151235,NA,NA,NA,NA,2113311.499,1.366783715,NA,NA,NA,NA,707714.2366,0.86153388
Mitoxantrone,800,54440.49925,0.847562048,NA,NA,NA,NA,2116996.264,1.15005244,NA,NA,NA,NA,721590.1496,1.200890069
Mitoxantrone,800,77364.94421,0.608063163,NA,NA,NA,NA,2078690.789,0.419132607,NA,NA,NA,NA,435103.3022,1.252829299
Mitoxantrone,800,50332.21905,1.187454455,NA,NA,NA,NA,1315904.454,1.84225118,NA,NA,NA,NA,656460.5066,1.439186202
Mitoxantrone,800,18071.20712,1.651726755,NA,NA,NA,NA,2068854.087,0.619339261,NA,NA,NA,NA,561618.7689,1.022117216
